ONET,year,overlap,data_skill_bin,ones,prop_data,dist
11-1011.00,2010,222,395,11273,0.035039475,0.18610734
11-1011.00,2011,345,669,13931,0.048022396,0.18610734
11-1011.00,2012,405,644,14506,0.044395423,0.18610734
11-1011.00,2013,490,831,18752,0.044315273,0.18610734
11-1011.00,2014,682,1153,18948,0.060850749,0.18610734
11-1011.00,2015,852,1406,21632,0.064996302,0.18610734
11-1011.00,2016,741,1295,19657,0.065879839,0.18610734
11-1011.00,2017,996,1588,19495,0.081456784,0.18610734
11-1011.00,2018,1304,2006,21127,0.094949591,0.18610734
11-1011.00,2019,1199,1931,22038,0.087621381,0.18610734
11-1011.03,2010,11,21,320,0.065625,0.20041326
11-1011.03,2011,4,16,328,0.048780488,0.20041326
11-1011.03,2012,17,49,315,0.155555556,0.20041326
11-1011.03,2013,20,35,337,0.103857567,0.20041326
11-1011.03,2014,24,45,390,0.115384615,0.20041326
11-1011.03,2015,30,56,500,0.112,0.20041326
11-1011.03,2016,29,56,564,0.09929078,0.20041326
11-1011.03,2017,51,82,484,0.169421488,0.20041326
11-1011.03,2018,38,86,821,0.104750305,0.20041326
11-1011.03,2019,68,123,713,0.172510519,0.20041326
11-1021.00,2010,4025,6641,98280,0.067572243,0.27797782
11-1021.00,2011,5586,9286,125561,0.073956085,0.27797782
11-1021.00,2012,5702,10033,123066,0.08152536,0.27797782
11-1021.00,2013,7772,12787,167066,0.076538613,0.27797782
11-1021.00,2014,9257,15145,184728,0.081985406,0.27797782
11-1021.00,2015,11110,17396,195125,0.089153107,0.27797782
11-1021.00,2016,12402,19863,214169,0.092744515,0.27797782
11-1021.00,2017,15335,23034,233767,0.09853401,0.27797782
11-1021.00,2018,20733,31022,312380,0.099308534,0.27797782
11-1021.00,2019,20656,32649,324471,0.100622244,0.27797782
11-2011.00,2010,125,172,3512,0.048974943,0.19650854
11-2011.00,2011,226,356,4980,0.071485944,0.19650854
11-2011.00,2012,202,327,4306,0.075940548,0.19650854
11-2011.00,2013,234,333,4897,0.068000817,0.19650854
11-2011.00,2014,236,334,4657,0.071719991,0.19650854
11-2011.00,2015,256,399,5300,0.075283019,0.19650854
11-2011.00,2016,300,383,7235,0.052937111,0.19650854
11-2011.00,2017,342,442,3624,0.12196468,0.19650854
11-2011.00,2018,540,775,4365,0.177548683,0.19650854
11-2011.00,2019,471,565,3844,0.14698231,0.19650854
11-2011.01,2010,13,16,150,0.106666667,0.19494444
11-2011.01,2011,15,21,225,0.093333333,0.19494444
11-2011.01,2012,23,26,228,0.114035088,0.19494444
11-2011.01,2013,36,44,398,0.110552764,0.19494444
11-2011.01,2014,30,37,528,0.070075758,0.19494444
11-2011.01,2015,33,37,845,0.043786982,0.19494444
11-2011.01,2016,62,89,877,0.101482326,0.19494444
11-2011.01,2017,64,82,819,0.1001221,0.19494444
11-2011.01,2018,145,177,1548,0.114341085,0.19494444
11-2011.01,2019,181,214,1799,0.118954975,0.19494444
11-2021.00,2010,7456,10316,116410,0.088617816,0.415249
11-2021.00,2011,10648,14804,142858,0.103627378,0.415249
11-2021.00,2012,11544,15232,141914,0.10733261,0.415249
11-2021.00,2013,13842,18102,165150,0.109609446,0.415249
11-2021.00,2014,15533,19515,169440,0.115173513,0.415249
11-2021.00,2015,18786,23713,199861,0.11864746,0.415249
11-2021.00,2016,20909,25564,188895,0.135334445,0.415249
11-2021.00,2017,22276,26865,194763,0.137936877,0.415249
11-2021.00,2018,32027,38714,282425,0.1370771,0.415249
11-2021.00,2019,36724,42704,275048,0.155260173,0.415249
11-2022.00,2010,4321,6748,162850,0.041436905,0.35349286
11-2022.00,2011,6543,10734,195265,0.054971449,0.35349286
11-2022.00,2012,6835,10716,189668,0.056498724,0.35349286
11-2022.00,2013,7536,12003,221777,0.054121933,0.35349286
11-2022.00,2014,9107,13852,239415,0.057857695,0.35349286
11-2022.00,2015,10540,15682,276195,0.056778725,0.35349286
11-2022.00,2016,11907,18106,288801,0.062693689,0.35349286
11-2022.00,2017,11758,18459,270246,0.068304434,0.35349286
11-2022.00,2018,14853,22931,348055,0.065883266,0.35349286
11-2022.00,2019,15218,23602,361594,0.065272101,0.35349286
11-2031.00,2010,1959,2988,38668,0.077273197,0.265287
11-2031.00,2011,2735,4476,47903,0.093438824,0.265287
11-2031.00,2012,3011,4918,50279,0.097814197,0.265287
11-2031.00,2013,3537,6261,58910,0.106280767,0.265287
